Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90min,Ast_90min,G+A_90min,G-PK_90min,G+A-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90min,xAG_90min,xG+xAG,npxG_90min,npxG+xAG_90min,0
2002-2003,Jermaine Jenas,ENG,MF,Newcastle Utd,19,1983,32,23,"2,273",25.3,6.0,2.0,8.0,6.0,0.0,0.0,1,0.0,0.24,0.08,0.32,0.24,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Claus Jensen,DEN,MF,Charlton Ath,25,1977,35,32,"2,902",32.2,6.0,7.0,13.0,6.0,0.0,0.0,1,0.0,0.19,0.22,0.4,0.19,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Niclas Jensen,DEN,DF,Manchester City,27,1974,33,32,"2,855",31.7,1.0,1.0,2.0,1.0,0.0,0.0,6,1.0,0.03,0.03,0.06,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Sun Jihai,CHN,DF,Manchester City,24,1977,28,25,"2,225",24.7,2.0,2.0,4.0,2.0,0.0,0.0,5,1.0,0.08,0.08,0.16,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Joseph-Désiré Job,CMR,"FW,MF",Middlesbrough,24,1977,28,22,"1,944",21.6,4.0,4.0,8.0,4.0,0.0,0.0,1,0.0,0.19,0.19,0.37,0.19,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Jonatan Johansson,FIN,FW,Charlton Ath,26,1975,31,10,"1,038",11.5,3.0,2.0,5.0,3.0,0.0,0.0,0,0.0,0.26,0.17,0.43,0.26,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Nils-Eric Johansson,SWE,DF,Blackburn,22,1980,30,20,"2,037",22.6,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Stern John,TRI,FW,Birmingham City,25,1976,30,20,"1,782",19.8,5.0,5.0,10.0,4.0,1.0,2.0,2,0.0,0.25,0.25,0.51,0.2,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Ronny Johnsen,NOR,DF,Aston Villa,33,1969,26,25,"2,046",22.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Andy Johnson,WAL,MF,West Brom,28,1974,32,30,"2,705",30.1,1.0,1.0,2.0,1.0,0.0,0.0,5,1.0,0.03,0.03,0.07,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
