Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2002-2003,Titi Camara,gn GUI,FW,West Ham,29,1972,4,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Kevin Campbell,eng ENG,FW,Everton,32,1970,36,31,"2,736",30.4,10,4,14,10,0,0,3,0,0.33,0.13,0.46,0.33,0.46,Matches,,,,,,,,,,,,
2002-2003,Sol Campbell,eng ENG,"DF,FW",Arsenal,27,1974,33,33,"2,927",32.5,2,1,3,2,0,0,3,2,0.06,0.03,0.09,0.06,0.09,Matches,,,,,,,,,,,,
2002-2003,Jamal Campbell-Ryce,jm JAM,"FW,MF",Charlton Ath,19,1983,1,0,5,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,
2002-2003,Iván Campo,es ESP,"DF,MF",Bolton,28,1974,31,28,"2,600",28.9,2,1,3,2,0,0,12,1,0.07,0.03,0.10,0.07,0.10,Matches,,,,,,,,,,,,
2002-2003,Stephen Carr,ie IRL,DF,Tottenham,25,1976,30,30,"2,655",29.5,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2002-2003,Jamie Carragher,eng ENG,"DF,MF",Liverpool,24,1978,35,34,"3,011",33.5,0,2,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,,,,,,,,,,,,
2002-2003,Michael Carrick,eng ENG,MF,West Ham,21,1981,30,28,"2,533",28.1,1,2,3,1,0,0,4,0,0.04,0.07,0.11,0.04,0.11,Matches,,,,,,,,,,,,
2002-2003,Roy Carroll,nir NIR,GK,Manchester Utd,24,1977,10,8,834,9.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Lee Carsley,ie IRL,MF,Everton,28,1974,24,21,"1,866",20.7,3,1,4,3,0,0,1,0,0.14,0.05,0.19,0.14,0.19,Matches,,,,,,,,,,,,
2002-2003,Darren Carter,eng ENG,"DF,MF",Birmingham City,18,1983,12,3,382,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Luke Chadwick,eng ENG,MF,Manchester Utd,21,1980,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Nick Chadwick,eng ENG,FW,Everton,19,1982,1,0,16,0.2,0,,,0,0,,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,
2002-2003,Adam Chambers,eng ENG,"DF,MF",West Brom,21,1980,13,10,894,9.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,James Chambers,eng ENG,DF,West Brom,21,1980,8,2,298,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Simon Charlton,eng ENG,DF,Bolton,30,1971,31,27,"2,370",26.3,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,
2002-2003,Bruno Cheyrou,fr FRA,MF,Liverpool,24,1978,19,8,760,8.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Michael Chopra,eng ENG,FW,Newcastle Utd,18,1983,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Malcolm Christie,eng ENG,FW,Middlesbrough,23,1979,12,11,825,9.2,4,1,5,4,0,0,0,0,0.44,0.11,0.55,0.44,0.55,Matches,,,,,,,,,,,,
2002-2003,Aliou Cissé,sn SEN,"DF,MF",Birmingham City,26,1976,21,21,"1,881",20.9,1,0,1,1,0,0,11,0,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,,,,,,
2002-2003,Édouard Cissé,fr FRA,MF,West Ham,24,1978,25,18,"1,553",17.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jamie Clapham,eng ENG,DF,Birmingham City,26,1975,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Ben Clark,eng ENG,DF,Sunderland,19,1983,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Lee Clark,eng ENG,MF,Fulham,29,1972,11,9,775,8.6,2,1,3,2,0,0,3,0,0.23,0.12,0.35,0.23,0.35,Matches,,,,,,,,,,,,
2002-2003,Stephen Clemence,eng ENG,MF,Birmingham City,24,1978,15,15,"1,266",14.1,2,2,4,2,0,0,3,0,0.14,0.14,0.28,0.14,0.28,Matches,,,,,,,,,,,,
2002-2003,Neil Clement,eng ENG,DF,West Brom,23,1978,36,34,"3,149",35.0,3,1,4,3,0,0,4,0,0.09,0.03,0.11,0.09,0.11,Matches,,,,,,,,,,,,
2002-2003,Andy Cole,eng ENG,FW,Blackburn,30,1971,34,32,"2,875",31.9,7,6,13,7,0,0,6,0,0.22,0.19,0.41,0.22,0.41,Matches,,,,,,,,,,,,
2002-2003,Ashley Cole,eng ENG,DF,Arsenal,21,1980,31,30,"2,703",30.0,1,4,5,1,0,0,5,0,0.03,0.13,0.17,0.03,0.17,Matches,,,,,,,,,,,,
2002-2003,Carlton Cole,eng ENG,FW,Chelsea,18,1983,13,2,388,4.3,3,2,5,3,0,0,3,0,0.70,0.46,1.16,0.70,1.16,Matches,,,,,,,,,,,,
2002-2003,Joe Cole,eng ENG,MF,West Ham,20,1981,36,36,"3,197",35.5,4,3,7,4,0,0,10,0,0.11,0.08,0.20,0.11,0.20,Matches,,,,,,,,,,,,
2002-2003,John Collins,sct SCO,MF,Fulham,34,1968,5,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Ferdinand Coly,sn SEN,DF,Birmingham City,28,1973,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Stephen Cooke,eng ENG,MF,Aston Villa,20,1982,3,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Colin Cooper,eng ENG,DF,Middlesbrough,35,1967,20,14,"1,399",15.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Carl Cort,gy GUY,FW,Newcastle Utd,24,1977,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jody Craddock,eng ENG,"DF,MF",Sunderland,27,1975,25,25,"2,250",25.0,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,,,,,,
2002-2003,Peter Crouch,eng ENG,FW,Aston Villa,21,1981,14,7,582,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Carlo Cudicini,it ITA,GK,Chelsea,28,1973,36,36,"3,240",36.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Kenny Cunningham,ie IRL,DF,Birmingham City,31,1971,31,31,"2,763",30.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,John Curtis,eng ENG,DF,Blackburn,23,1978,5,5,305,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Pascal Cygan,fr FRA,DF,Arsenal,28,1974,18,16,"1,429",15.9,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,,,,,,,,,,,,
2002-2003,Nikos Dabizas,gr GRE,DF,Newcastle Utd,28,1973,16,13,"1,145",12.7,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
