Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2002-2003,Agustín Delgado,ec ECU,FW,Southampton,27,1974,6,2,184,2.0,1,0,1,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches,,,,,,,,,,,,
2002-2003,Edwin van der Sar,nl NED,GK,Fulham,31,1970,19,19,"1,681",18.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Marcel Desailly,fr FRA,"DF,MF",Chelsea,33,1968,31,30,"2,694",29.9,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,
2002-2003,Paul Devlin,sct SCO,MF,Birmingham City,30,1972,32,20,"1,898",21.1,3,1,4,1,2,2,3,0,0.14,0.05,0.19,0.05,0.09,Matches,,,,,,,,,,,,
2002-2003,Paolo Di Canio,it ITA,FW,West Ham,34,1968,18,16,"1,365",15.2,9,3,12,6,3,3,2,0,0.59,0.20,0.79,0.40,0.59,Matches,,,,,,,,,,,,
2002-2003,Salif Diao,sn SEN,MF,Liverpool,25,1977,26,13,"1,222",13.6,1,1,2,1,0,0,3,1,0.07,0.07,0.15,0.07,0.15,Matches,,,,,,,,,,,,
2002-2003,Danny Dichio,eng ENG,FW,West Brom,27,1974,28,19,"1,892",21.0,5,0,5,5,0,0,6,0,0.24,0.00,0.24,0.24,0.24,Matches,,,,,,,,,,,,
2002-2003,Jonjo Dickman,eng ENG,MF,Sunderland,20,1981,1,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Sylvain Distin,fr FRA,DF,Manchester City,24,1977,34,34,"3,060",34.0,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2002-2003,Martin Djetou,fr FRA,"DF,MF",Fulham,27,1974,25,22,"1,789",19.9,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,,,,,,,,,,,,
2002-2003,Youri Djorkaeff,fr FRA,"FW,MF",Bolton,34,1968,36,36,"3,062",34.0,7,4,11,7,0,0,4,0,0.21,0.12,0.32,0.21,0.32,Matches,,,,,,,,,,,,
2002-2003,Scott Dobie,sct SCO,FW,West Brom,23,1978,31,10,"1,191",13.2,5,0,5,5,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,,,,,,,,,,,,
2002-2003,Jason Dodd,eng ENG,DF,Southampton,31,1970,15,13,"1,140",12.7,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,,,,,,,,,,,,
2002-2003,Gary Doherty,ie IRL,"DF,FW",Tottenham,22,1980,15,7,983,10.9,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches,,,,,,,,,,,,
2002-2003,Doriva,br BRA,MF,Middlesbrough,30,1972,5,3,340,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jonathan Douglas,ie IRL,MF,Blackburn,20,1981,1,0,2,0.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,
2002-2003,Stewart Downing,eng ENG,"FW,MF",Middlesbrough,18,1984,2,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Michael Duberry,eng ENG,DF,Leeds United,26,1975,14,11,"1,032",11.5,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,,,,,,,,,,,,
2002-2003,Dion Dublin,eng ENG,"DF,FW",Aston Villa,33,1969,28,23,"2,004",22.3,10,3,13,8,2,3,5,1,0.45,0.13,0.58,0.36,0.49,Matches,,,,,,,,,,,,
2002-2003,Jerzy Dudek,pl POL,GK,Liverpool,29,1973,30,30,"2,700",30.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Damien Duff,ie IRL,"FW,MF",Blackburn,23,1979,26,26,"2,247",25.0,9,5,14,9,0,0,3,0,0.36,0.20,0.56,0.36,0.56,Matches,,,,,,,,,,,,
2002-2003,Christophe Dugarry,fr FRA,"FW,MF",Birmingham City,30,1972,16,16,"1,294",14.4,5,1,6,5,0,0,4,0,0.35,0.07,0.42,0.35,0.42,Matches,,,,,,,,,,,,
2002-2003,David Dunn,eng ENG,MF,Blackburn,22,1979,28,26,"2,195",24.4,8,4,12,4,4,5,1,0,0.33,0.16,0.49,0.16,0.33,Matches,,,,,,,,,,,,
2002-2003,Richard Dunne,ie IRL,DF,Manchester City,22,1979,25,24,"2,058",22.9,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,
2002-2003,Kieron Dyer,eng ENG,MF,Newcastle Utd,23,1978,35,33,"2,948",32.8,2,4,6,2,0,0,1,0,0.06,0.12,0.18,0.06,0.18,Matches,,,,,,,,,,,,
2002-2003,Rob Edwards,wls WAL,DF,Aston Villa,19,1982,8,7,508,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Ugo Ehiogu,eng ENG,DF,Middlesbrough,29,1972,32,31,"2,674",29.7,3,0,3,3,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,,,,,,,,,,,,
2002-2003,Robbie Elliott,eng ENG,DF,Newcastle Utd,28,1973,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Peter Enckelman,fi FIN,GK,Aston Villa,25,1977,33,33,"2,926",32.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Matthew Etherington,eng ENG,MF,Tottenham,20,1981,23,15,"1,311",14.6,1,3,4,1,0,0,0,0,0.07,0.21,0.27,0.07,0.27,Matches,,,,,,,,,,,,
2002-2003,Jason Euell,jm JAM,"FW,MF",Charlton Ath,25,1977,36,35,"3,116",34.6,10,2,12,7,3,4,6,0,0.29,0.06,0.35,0.20,0.26,Matches,,,,,,,,,,,,
2002-2003,John Eustace,eng ENG,MF,Middlesbrough,22,1979,1,0,3,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Delroy Facey,gd GRN,FW,Bolton,22,1980,9,1,186,2.1,2,1,3,2,0,0,0,0,0.97,0.48,1.45,0.97,1.45,Matches,,,,,,,,,,,,
2002-2003,Craig Fagan,eng ENG,"FW,MF",Birmingham City,19,1982,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Gareth Farrelly,ie IRL,MF,Bolton,26,1975,8,6,519,5.8,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,,,,,,,,,,,,
2002-2003,Les Ferdinand,eng ENG,FW,Tottenham,35,1966,11,4,396,4.4,2,0,2,2,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches,,,,,,,,,,,,
2002-2003,Les Ferdinand,eng ENG,FW,West Ham,35,1966,14,12,869,9.7,2,1,3,2,0,0,1,0,0.21,0.10,0.31,0.21,0.31,Matches,,,,,,,,,,,,
2002-2003,Rio Ferdinand,eng ENG,DF,Manchester Utd,23,1978,28,27,"2,437",27.1,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,
2002-2003,Duncan Ferguson,sct SCO,FW,Everton,30,1971,7,0,182,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Fabrice Fernandes,fr FRA,MF,Southampton,22,1979,37,35,"2,972",33.0,3,3,6,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches,,,,,,,,,,,,
2002-2003,Albert Ferrer,es ESP,DF,Chelsea,32,1970,3,3,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Steve Finnan,ie IRL,DF,Fulham,26,1976,32,32,"2,880",32.0,0,2,2,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,,,,,,,,,,,,
2002-2003,Mark Fish,za RSA,"DF,FW",Charlton Ath,28,1974,23,23,"1,911",21.2,2,0,2,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,,,,,,,,,,,,
2002-2003,Garry Flitcroft,eng ENG,MF,Blackburn,29,1972,33,33,"2,802",31.1,2,0,2,2,0,0,5,1,0.06,0.00,0.06,0.06,0.06,Matches,,,,,,,,,,,,
2002-2003,Jimmy Floyd Hasselbaink,nl NED,FW,Chelsea,30,1972,36,27,"2,377",26.4,11,7,18,8,3,3,4,0,0.42,0.27,0.68,0.30,0.57,Matches,,,,,,,,,,,,
2002-2003,Marc-Vivien Foé,cm CMR,MF,Manchester City,27,1975,35,35,"3,107",34.5,9,2,11,9,0,0,7,0,0.26,0.06,0.32,0.26,0.32,Matches,,,,,,,,,,,,
2002-2003,Diego Forlán,uy URU,"FW,MF",Manchester Utd,23,1979,25,7,834,9.3,6,2,8,6,0,0,3,0,0.65,0.22,0.86,0.65,0.86,Matches,,,,,,,,,,,,
2002-2003,Jonathan Fortune,eng ENG,DF,Charlton Ath,21,1980,24,22,"2,153",23.9,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,,,,,,
2002-2003,Quinton Fortune,za RSA,MF,Manchester Utd,25,1977,9,5,506,5.6,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,,,,,,,,,,,,
2002-2003,Robbie Fowler,eng ENG,FW,Leeds United,27,1975,8,2,238,2.6,2,,,,,,1,0,0.76,,,,,Matches,,,,,,,,,,,,
2002-2003,Robbie Fowler,eng ENG,FW,Manchester City,27,1975,13,12,966,10.7,2,1,3,1,1,1,0,0,0.19,0.09,0.28,0.09,0.19,Matches,,,,,,,,,,,,
2002-2003,Per Frandsen,dk DEN,MF,Bolton,32,1970,34,34,"2,855",31.7,2,2,4,2,0,0,6,0,0.06,0.06,0.13,0.06,0.13,Matches,,,,,,,,,,,,
2002-2003,Steffen Freund,de GER,MF,Tottenham,32,1970,17,13,"1,198",13.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Brad Friedel,us USA,GK,Blackburn,31,1971,37,37,"3,330",37.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Paul Gallagher,sct SCO,"FW,MF",Blackburn,17,1984,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,William Gallas,fr FRA,DF,Chelsea,24,1977,38,36,"3,241",36.0,4,1,5,4,0,0,5,0,0.11,0.03,0.14,0.11,0.14,Matches,,,,,,,,,,,,
2002-2003,Anthony Gardner,eng ENG,DF,Tottenham,21,1980,12,11,996,11.1,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,,,,,,,,,,,,
2002-2003,Ricardo Gardner,jm JAM,"DF,MF",Bolton,23,1978,32,31,"2,721",30.2,2,1,3,2,0,0,6,1,0.07,0.03,0.10,0.07,0.10,Matches,,,,,,,,,,,,
2002-2003,Ryan Garry,eng ENG,"DF,MF",Arsenal,18,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Edu Gaspar,br BRA,MF,Arsenal,24,1978,18,12,"1,002",11.1,3,1,4,3,0,0,4,0,0.27,0.09,0.36,0.27,0.36,Matches,,,,,,,,,,,,
2002-2003,Scot Gemmill,sct SCO,MF,Everton,31,1971,16,10,936,10.4,0,3,3,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches,,,,,,,,,,,,
2002-2003,Geremi,cm CMR,"DF,MF",Middlesbrough,23,1978,33,33,"2,968",33.0,7,8,15,7,0,0,2,0,0.21,0.24,0.45,0.21,0.45,Matches,,,,,,,,,,,,
2002-2003,Paul Gerrard,eng ENG,GK,Everton,29,1973,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Steven Gerrard,eng ENG,MF,Liverpool,22,1980,34,32,"2,864",31.8,5,7,12,5,0,0,5,1,0.16,0.22,0.38,0.16,0.38,Matches,,,,,,,,,,,,
2002-2003,Ryan Giggs,wls WAL,"FW,MF",Manchester Utd,28,1973,36,32,"2,848",31.6,8,10,18,8,0,0,0,0,0.25,0.32,0.57,0.25,0.57,Matches,,,,,,,,,,,,
2002-2003,Phil Gilchrist,eng ENG,DF,West Brom,28,1973,22,22,"1,948",21.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Keith Gillespie,nir NIR,"FW,MF",Blackburn,27,1975,25,10,"1,192",13.2,0,3,3,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches,,,,,,,,,,,,
2002-2003,Shay Given,ie IRL,GK,Newcastle Utd,26,1976,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Shaun Goater,bm BER,FW,Manchester City,32,1970,26,14,"1,315",14.6,7,2,9,7,0,0,0,0,0.48,0.14,0.62,0.48,0.62,Matches,,,,,,,,,,,,
2002-2003,Ed de Goey,nl NED,GK,Chelsea,35,1966,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Bjarne Goldbæk,dk DEN,MF,Fulham,33,1968,11,9,823,9.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Alain Goma,fr FRA,DF,Fulham,29,1972,29,29,"2,482",27.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Corrado Grabbi,it ITA,FW,Blackburn,27,1975,11,1,200,2.2,1,0,1,1,0,0,2,0,0.45,0.00,0.45,0.45,0.45,Matches,,,,,,,,,,,,
2002-2003,Martin Grainger,eng ENG,DF,Birmingham City,29,1972,9,8,669,7.4,0,1,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,,,,,,,,,,,,
2002-2003,Thomas Gravesen,dk DEN,MF,Everton,26,1976,33,30,"2,715",30.2,1,8,9,1,0,0,11,0,0.03,0.27,0.30,0.03,0.30,Matches,,,,,,,,,,,,
2002-2003,Michael Gray,eng ENG,"DF,MF",Sunderland,27,1974,32,32,"2,791",31.0,1,2,3,1,0,0,3,0,0.03,0.06,0.10,0.03,0.10,Matches,,,,,,,,,,,,
2002-2003,Jonathan Greening,eng ENG,MF,Middlesbrough,23,1979,38,38,"3,375",37.5,2,3,5,2,0,0,6,0,0.05,0.08,0.13,0.05,0.13,Matches,,,,,,,,,,,,
2002-2003,Sean Gregan,eng ENG,DF,West Brom,28,1974,36,36,"3,187",35.4,1,0,1,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,
2002-2003,Vratislav Greško,sk SVK,DF,Blackburn,25,1977,10,10,888,9.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Andy Griffin,eng ENG,DF,Newcastle Utd,23,1979,27,22,"2,013",22.4,1,1,2,1,0,0,7,1,0.04,0.04,0.09,0.04,0.09,Matches,,,,,,,,,,,,
2002-2003,Jesper Grønkjær,dk DEN,"FW,MF",Chelsea,24,1977,30,20,"1,735",19.3,4,4,8,4,0,0,5,0,0.21,0.21,0.41,0.21,0.41,Matches,,,,,,,,,,,,
2002-2003,Ole Gunnar Solskjær,no NOR,FW,Manchester Utd,29,1973,37,29,"2,601",28.9,9,6,15,9,0,0,4,0,0.31,0.21,0.52,0.31,0.52,Matches,,,,,,,,,,,,
2002-2003,Eiður Guðjohnsen,is ISL,"FW,MF",Chelsea,23,1978,35,20,"2,027",22.5,10,2,12,10,0,0,1,0,0.44,0.09,0.53,0.44,0.53,Matches,,,,,,,,,,,,
2002-2003,Joey Guðjónsson,is ISL,MF,Aston Villa,22,1980,11,9,783,8.7,2,2,4,2,0,0,3,1,0.23,0.23,0.46,0.23,0.46,Matches,,,,,,,,,,,,
2002-2003,El Hadji Diouf,sn SEN,"FW,MF",Liverpool,21,1981,29,21,"1,881",20.9,3,2,5,3,0,0,6,0,0.14,0.10,0.24,0.14,0.24,Matches,,,,,,,,,,,,
2002-2003,Mustapha Hadji,ma MAR,MF,Aston Villa,30,1971,11,7,617,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Dietmar Hamann,de GER,MF,Liverpool,28,1973,30,29,"2,547",28.3,2,2,4,2,0,0,7,0,0.07,0.07,0.14,0.07,0.14,Matches,,,,,,,,,,,,
2002-2003,Elvis Hammond,gh GHA,FW,Fulham,21,1980,10,3,404,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jon Harley,eng ENG,DF,Fulham,22,1979,11,11,990,11.0,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,,,,,,,,,,,,
2002-2003,Ian Harte,ie IRL,DF,Leeds United,24,1977,27,24,"2,204",24.5,3,3,6,2,1,1,3,0,0.12,0.12,0.25,0.08,0.20,Matches,,,,,,,,,,,,
2002-2003,Barry Hayles,jm JAM,FW,Fulham,30,1972,14,4,549,6.1,1,2,3,1,0,0,3,0,0.16,0.33,0.49,0.16,0.49,Matches,,,,,,,,,,,,
2002-2003,Stéphane Henchoz,ch SUI,DF,Liverpool,27,1974,19,19,"1,615",17.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Lee Hendrie,eng ENG,MF,Aston Villa,25,1977,27,22,"1,832",20.4,4,2,6,4,0,0,7,0,0.20,0.10,0.29,0.20,0.29,Matches,,,,,,,,,,,,
2002-2003,Thierry Henry,fr FRA,FW,Arsenal,24,1977,37,37,"3,298",36.6,24,20,44,20,4,5,8,0,0.65,0.55,1.20,0.55,1.09,Matches,,,,,,,,,,,,
2002-2003,Martín Herrera,ar ARG,GK,Fulham,31,1970,2,1,141,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Emile Heskey,eng ENG,FW,Liverpool,24,1978,32,22,"2,057",22.9,6,3,9,6,0,0,3,0,0.26,0.13,0.39,0.26,0.39,Matches,,,,,,,,,,,,
2002-2003,Tony Hibbert,eng ENG,DF,Everton,21,1981,24,23,"2,051",22.8,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,
2002-2003,Danny Higginbotham,gi GIB,DF,Southampton,23,1978,9,3,379,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Craig Hignett,eng ENG,"FW,MF",Blackburn,32,1970,3,1,110,1.2,1,0,1,1,0,0,0,0,0.82,0.00,0.82,0.82,0.82,Matches,,,,,,,,,,,,
2002-2003,Thomas Hitzlsperger,de GER,MF,Aston Villa,20,1982,26,24,"2,053",22.8,2,3,5,2,0,0,3,0,0.09,0.13,0.22,0.09,0.22,Matches,,,,,,,,,,,,
2002-2003,Dean Holdsworth,eng ENG,FW,Bolton,33,1968,9,5,374,4.2,0,1,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches,,,,,,,,,,,,
2002-2003,Kevin Horlock,nir NIR,MF,Manchester City,29,1972,30,22,"2,049",22.8,0,3,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,,,,,,,,,,,,
2002-2003,Geoff Horsfield,eng ENG,FW,Birmingham City,28,1973,31,15,"1,582",17.6,5,2,7,5,0,0,1,1,0.28,0.11,0.40,0.28,0.40,Matches,,,,,,,,,,,,
2002-2003,Russell Hoult,eng ENG,GK,West Brom,29,1972,37,37,"3,275",36.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Steve Howey,eng ENG,DF,Manchester City,30,1971,24,24,"2,013",22.4,2,1,3,2,0,0,1,0,0.09,0.04,0.13,0.09,0.13,Matches,,,,,,,,,,,,
2002-2003,Justin Hoyte,tt TRI,DF,Arsenal,17,1984,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Darren Huckerby,eng ENG,"FW,MF",Manchester City,26,1976,16,6,577,6.4,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,,,,,,,,,,,,
2002-2003,Aaron Hughes,nir NIR,DF,Newcastle Utd,22,1979,35,35,"3,139",34.9,1,1,2,1,0,0,1,0,0.03,0.03,0.06,0.03,0.06,Matches,,,,,,,,,,,,
2002-2003,Bryan Hughes,eng ENG,MF,Birmingham City,26,1976,22,10,941,10.5,2,1,3,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29,Matches,,,,,,,,,,,,
2002-2003,Lee Hughes,eng ENG,FW,West Brom,26,1976,23,14,"1,140",12.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Joey Hutchinson,eng ENG,DF,Birmingham City,20,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Don Hutchison,sct SCO,MF,West Ham,31,1971,10,0,119,1.3,0,1,1,0,0,0,0,0,0.00,0.76,0.76,0.00,0.76,Matches,,,,,,,,,,,,
2002-2003,Robert Huth,de GER,DF,Chelsea,17,1984,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Sami Hyypiä,fi FIN,DF,Liverpool,28,1973,36,36,"3,153",35.0,3,2,5,3,0,0,0,1,0.09,0.06,0.14,0.09,0.14,Matches,,,,,,,,,,,,
2002-2003,Junichi Inamoto,jp JPN,MF,Fulham,22,1979,18,8,803,8.9,2,2,4,2,0,0,0,0,0.22,0.22,0.45,0.22,0.45,Matches,,,,,,,,,,,,
2002-2003,Steffen Iversen,no NOR,FW,Tottenham,25,1976,19,8,779,8.7,1,3,4,1,0,0,0,0,0.12,0.35,0.46,0.12,0.46,Matches,,,,,,,,,,,,
2002-2003,Jussi Jääskeläinen,fi FIN,GK,Bolton,27,1975,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,David James,eng ENG,GK,West Ham,31,1970,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Matt Jansen,eng ENG,FW,Blackburn,24,1977,7,0,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Francis Jeffers,eng ENG,FW,Arsenal,21,1981,16,2,351,3.9,2,1,3,2,0,0,1,0,0.51,0.26,0.77,0.51,0.77,Matches,,,,,,,,,,,,
2002-2003,Jermaine Jenas,eng ENG,MF,Newcastle Utd,19,1983,32,23,"2,273",25.3,6,2,8,6,0,0,1,0,0.24,0.08,0.32,0.24,0.32,Matches,,,,,,,,,,,,
2002-2003,Claus Jensen,dk DEN,MF,Charlton Ath,25,1977,35,32,"2,902",32.2,6,7,13,6,0,0,1,0,0.19,0.22,0.40,0.19,0.40,Matches,,,,,,,,,,,,
2002-2003,Niclas Jensen,dk DEN,DF,Manchester City,27,1974,33,32,"2,855",31.7,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,Matches,,,,,,,,,,,,
2002-2003,Sun Jihai,cn CHN,DF,Manchester City,24,1977,28,25,"2,225",24.7,2,2,4,2,0,0,5,1,0.08,0.08,0.16,0.08,0.16,Matches,,,,,,,,,,,,
2002-2003,Joseph-Désiré Job,cm CMR,"FW,MF",Middlesbrough,24,1977,28,22,"1,944",21.6,4,4,8,4,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches,,,,,,,,,,,,
2002-2003,Jonatan Johansson,fi FIN,FW,Charlton Ath,26,1975,31,10,"1,038",11.5,3,2,5,3,0,0,0,0,0.26,0.17,0.43,0.26,0.43,Matches,,,,,,,,,,,,
2002-2003,Nils-Eric Johansson,se SWE,DF,Blackburn,22,1980,30,20,"2,037",22.6,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Stern John,tt TRI,FW,Birmingham City,25,1976,30,20,"1,782",19.8,5,5,10,4,1,2,2,0,0.25,0.25,0.51,0.20,0.45,Matches,,,,,,,,,,,,
2002-2003,Ronny Johnsen,no NOR,DF,Aston Villa,33,1969,26,25,"2,046",22.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Andy Johnson,wls WAL,MF,West Brom,28,1974,32,30,"2,705",30.1,1,1,2,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,Matches,,,,,,,,,,,,
2002-2003,Damien Johnson,nir NIR,MF,Birmingham City,23,1978,30,28,"2,408",26.8,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,Matches,,,,,,,,,,,,
2002-2003,Glen Johnson,eng ENG,DF,West Ham,17,1984,15,14,"1,287",14.3,0,2,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,,,,,,,,,,,,
2002-2003,Jermaine Johnson,jm JAM,"FW,MF",Bolton,22,1980,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Michael Johnson,jm JAM,DF,Birmingham City,29,1973,6,5,443,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Seth Johnson,eng ENG,"FW,MF",Leeds United,23,1979,9,6,358,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,,,,,,,,,,,,
2002-2003,Simon Johnson,eng ENG,MF,Leeds United,19,1983,4,1,131,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Paul Jones,wls WAL,GK,Southampton,35,1967,14,13,"1,174",13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Stephen Jordan,eng ENG,DF,Manchester City,20,1982,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jordão,pt POR,MF,West Brom,30,1971,3,0,30,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches,,,,,,,,,,,,
