Player,Season,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Jacob Murphy,2022-2023,4,2,78,1230,12,302.5,275.0,410.0,2,240,98.9,3,0,0,3.2
Fabian SchÃ¤r,2022-2023,1,3,139,3207,28,263.9,653.4,521.0,6,617,144.1,15,0,7,14.4
Matt Targett,2022-2023,0,0,35,600,6,141.9,97.6,8.0,2,157,24.8,3,0,1,0.5
Allan Saint-Maximin,2022-2023,1,6,66,1109,14,344.1,266.4,370.0,4,240,98.2,4,0,1,3.1
Miguel AlmirÃ³n Rejala,2022-2023,11,4,158,2487,22,424.0,599.2,849.0,15,511,187.5,15,0,2,12.8
Sean Longstaff,2022-2023,1,5,93,2514,18,372.0,385.2,408.0,2,347,116.8,13,0,2,1.0
Joelinton CÃ¡ssio ApolinÃ¡rio de Lira,2022-2023,6,5,115,2660,26,413.1,603.4,655.0,10,458,167.3,11,0,12,2.0
Jamal Lewis,2022-2023,0,0,2,9,1,0.8,1.0,4.0,0,6,0.6,0,0,0,0.1
Joe Willock,2022-2023,3,7,123,2556,26,547.0,520.8,680.0,11,415,174.9,12,0,1,1.2
Bruno GuimarÃ£es Rodriguez Moura,2022-2023,4,5,107,2727,25,631.8,617.6,284.0,5,438,153.6,12,0,7,2.9
Jeff Hendrick,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Nick Pope,2022-2023,0,0,157,3261,32,20.0,709.6,0.0,14,678,72.9,14,1,3,18.0
Sven Botman,2022-2023,0,2,129,3127,30,120.1,554.4,303.0,8,666,98.1,13,0,2,6.9
Elliot Anderson,2022-2023,0,1,30,395,7,114.7,70.2,180.0,2,93,36.5,1,0,0,0.1
Harrison Ashby,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6
Alexander Isak,2022-2023,10,2,100,1520,20,244.1,475.0,693.0,18,353,141.1,4,0,3,12.7
Loris Karius,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Garang Kuol,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
